time slot; number of pods; number of nodes; solution cost; time (ms) 
0; 5000; 50; 24308.0; 192
1; 4540; 50; 19693.0; 171
2; 5836; 50; 33455.0; 186
3; 6555; 50; 42812.0; 1996
4; 5581; 50; 30671.0; 203
5; 3953; 50; 15471.0; 148
6; 4220; 50; 16983.0; 160
7; 3564; 50; 13497.0; 131
8; 4442; 50; 18761.0; 1149
9; 3311; 50; 12282.0; 120
10; 3827; 50; 14779.0; 148
11; 3545; 50; 13393.0; 135
12; 4320; 50; 17733.0; 166
13; 4859; 50; 22530.0; 183
14; 3501; 50; 13205.0; 134
15; 3108; 50; 11316.0; 119
16; 3574; 50; 13602.0; 140
17; 2607; 50; 8994.0; 79
18; 2119; 50; 6954.0; 73
19; 1985; 50; 6396.0; 73
