number of pods; number of nodes; solution cost; time (ms) 
50; 10; 0.0; 1
50; 20; 0.0; 0
50; 50; 0.0; 0
50; 100; 0.0; 0
50; 200; 33918.0; 0
100; 10; 0.0; 0
100; 20; 11549.0; 0
100; 50; 0.0; 0
100; 100; 35210.0; 0
100; 200; 0.0; 0
200; 10; 0.0; 0
200; 20; 0.0; 0
200; 50; 33133.0; 0
200; 100; 31825.0; 0
200; 200; 112935.0; 0
500; 10; 38347.0; 0
500; 20; 45318.0; 0
500; 50; 0.0; 0
500; 100; 0.0; 0
500; 200; 295839.0; 0
1000; 10; 81233.0; 1
1000; 20; 55269.0; 0
1000; 50; 209418.0; 0
1000; 100; 152271.0; 0
1000; 200; 0.0; 0
5000; 10; 462998.0; 10
5000; 20; 461038.0; 9
5000; 50; 0.0; 7
5000; 100; 1520361.0; 5
5000; 200; 0.0; 6
10000; 10; 805902.0; 21
10000; 20; 1178865.0; 44
10000; 50; 0.0; 28
10000; 100; 2513158.0; 33
10000; 200; 0.0; 27
