number of pods; number of nodes; solution cost; time (ms) 
10; 5; 111.0; 1
10; 10; 250.0; 0
10; 20; 158.0; 1
10; 50; 356.0; 10
10; 100; 586.0; 5
10; 200; 678.0; 9
50; 10; 573.0; 12
50; 20; 1195.0; 7
50; 50; 873.0; 8
50; 100; 1640.0; 45
50; 200; 1964.0; 31
100; 10; 1155.0; 1
100; 20; 1270.0; 5
100; 50; 1530.0; 18
100; 100; 1718.0; 52
100; 200; 1539.0; 94
200; 10; 2653.0; 3
200; 20; 2348.0; 5
200; 50; 1039.0; 43
200; 100; 3641.0; 123
200; 200; 1912.0; 234
500; 10; 3383.0; 8
500; 20; 5428.0; 15
500; 50; 6361.0; 112
500; 100; 11634.0; 54
500; 200; 5568.0; 815
1000; 10; 4354.0; 66
1000; 20; 3319.0; 38
1000; 50; 17289.0; 56
1000; 100; 21298.0; 1160
1000; 200; 20331.0; 3220
5000; 10; 60671.0; 102
5000; 20; 60130.0; 843
5000; 50; 53105.0; 310
5000; 100; 28751.0; 609
5000; 200; 70832.0; 1367
10000; 10; 94909.0; 166
10000; 20; 137247.0; 395
10000; 50; 90058.0; 8413
10000; 100; 77527.0; 11418
10000; 200; 63702.0; 3038
