number of pods; number of nodes; solution cost; time (ms) 
10; 10; 184.0; 12
10; 20; 194.0; 21
10; 50; 284.0; 14
10; 100; 482.0; 50
10; 200; 1296.0; 83
50; 10; 624.0; 143
50; 20; 505.0; 53
50; 50; 1460.0; 317
50; 100; 1749.0; 1707
50; 200; 1331.0; 737
100; 10; 1018.0; 54
100; 20; 1356.0; 149
100; 50; 1375.0; 253
100; 100; 836.0; 488
100; 200; 2338.0; 712
200; 10; 2201.0; 108
200; 20; 3202.0; 240
200; 50; 3409.0; 893
200; 100; 4612.0; 1758
200; 200; 1591.0; 2398
500; 10; 5501.0; 301
500; 20; 5157.0; 615
500; 50; 4795.0; 5004
500; 100; 6465.999999978594; 3554
500; 200; 8026.0; 5455
1000; 10; 7223.0; 915
1000; 20; 4145.0; 3087
1000; 50; 6059.0; 5152
1000; 100; 20247.0; 8429
1000; 200; 10632.0; 26351
5000; 10; 41099.0; 4336
5000; 20; 64172.0; 48529
5000; 50; 20464.0; 74488
5000; 100; 79986.0; 58926
5000; 200; 72659.0; 945917
10000; 10; 42164.0; 7969
10000; 20; 70365.0; 21484
10000; 50; 75225.0; 15711426
10000; 100; 92451.0; 5438344
10000; 200; 41111.0; 211952
