number of pods; number of nodes; solution cost; time (ms) 
10; 5; 104.0; 3
10; 10; 299.0; 0
10; 20; 714.0; 0
10; 50; 1773.0; 1
10; 100; 3994.0; 0
10; 200; 5947.0; 1
50; 10; 1155.0; 1
50; 20; 1729.0; 1
50; 50; 3747.0; 0
50; 100; 5817.0; 0
50; 200; 22067.0; 1
100; 10; 1871.0; 1
100; 20; 3436.0; 0
100; 50; 11193.0; 0
100; 100; 30913.0; 0
100; 200; 44367.0; 0
200; 10; 4756.0; 0
200; 20; 6888.0; 0
200; 50; 25060.0; 0
200; 100; 23648.0; 0
200; 200; 60645.0; 0
500; 10; 14997.0; 0
500; 20; 22872.0; 0
500; 50; 60034.0; 1
500; 100; 106033.0; 0
500; 200; 142780.0; 0
1000; 10; 30029.0; 0
1000; 20; 48528.0; 0
1000; 50; 140803.0; 0
1000; 100; 197032.0; 0
1000; 200; 228366.0; 1
5000; 10; 78782.0; 11
5000; 20; 207807.0; 11
5000; 50; 563924.0; 11
5000; 100; 1292519.0; 11
5000; 200; 2645240.0; 9
10000; 10; 136879.0; 37
10000; 20; 454321.0; 35
10000; 50; 1411198.0; 40
