number of pods; number of nodes; solution cost; time (ms) 
10; 5; 118.0; 16
10; 10; 249.0; 1
10; 20; 781.0; 0
10; 50; 1439.0; 0
10; 100; 4238.0; 0
10; 200; 6401.0; 1
50; 10; 1145.0; 2
50; 20; 1616.0; 2
50; 50; 5186.0; 4
50; 100; 10468.0; 3
50; 200; 24306.0; 4
100; 10; 1145.0; 4
100; 20; 3913.0; 3
100; 50; 8733.0; 1
100; 100; 16471.0; 0
100; 200; 51533.0; 4
200; 10; 5629.0; 3
200; 20; 9884.0; 1
200; 50; 19716.0; 0
200; 100; 39259.0; 1
200; 200; 98186.0; 2
500; 10; 10328.0; 2
500; 20; 23207.0; 2
500; 50; 68822.0; 2
500; 100; 68559.0; 1
500; 200; 201721.0; 1
1000; 10; 14936.0; 0
1000; 20; 24503.0; 1
1000; 50; 119952.0; 2
1000; 100; 165327.0; 2
1000; 200; 441121.0; 1
5000; 10; 72955.0; 13
5000; 20; 244859.0; 14
5000; 50; 587428.0; 13
5000; 100; 1289902.0; 13
5000; 200; 1979940.0; 16
10000; 10; 198435.0; 48
10000; 20; 396376.0; 47
10000; 50; 1107347.0; 52
10000; 100; 1973371.0; 47
10000; 200; 3780531.0; 43
